During minute 0: 2 successful calls, 0 failed calls.
During minute 1: 0 successful calls, 0 failed calls.
During minute 2: 0 successful calls, 0 failed calls.
During minute 3: 0 successful calls, 0 failed calls.
During minute 4: 0 successful calls, 0 failed calls.
During minute 5: 0 successful calls, 0 failed calls.
During minute 6: 0 successful calls, 0 failed calls.
During minute 7: 0 successful calls, 0 failed calls.
During minute 8: 0 successful calls, 0 failed calls.
During minute 9: 0 successful calls, 0 failed calls.
During minute 10: 0 successful calls, 0 failed calls.
During minute 11: 0 successful calls, 0 failed calls.
During minute 12: 0 successful calls, 0 failed calls.
During minute 13: 0 successful calls, 0 failed calls.
During minute 14: 0 successful calls, 0 failed calls.
During minute 15: 0 successful calls, 0 failed calls.
During minute 16: 0 successful calls, 0 failed calls.
During minute 17: 0 successful calls, 0 failed calls.
During minute 18: 0 successful calls, 0 failed calls.
During minute 19: 0 successful calls, 0 failed calls.
During minute 20: 0 successful calls, 0 failed calls.
